transport_type,line_number,vehicle_id,fleet_number,lat,lon,heading_deg,speed_kmh,floor_type,destination,snapshot_ts,snapshot_date
2,8,1476,61,59.44106,24.75348,151,,Z,Äigrumäe,2026-05-23 07:16:35+03,2026-05-23
2,8,1710,18,59.4289,24.67937,258,,Z,Väike-Õismäe,2026-05-23 07:16:35+03,2026-05-23
2,8,3393,91,59.4264,24.65973,70,,Z,Äigrumäe,2026-05-23 07:16:35+03,2026-05-23
2,8,1186,49,59.48377,24.88487,148,,Z,Äigrumäe,2026-05-23 07:17:05+03,2026-05-23
2,8,1236,34,59.44821,24.80271,217,,Z,Väike-Õismäe,2026-05-23 07:17:05+03,2026-05-23
2,8,1474,2,59.41194,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:17:05+03,2026-05-23
2,8,1476,61,59.44038,24.75499,135,,Z,Äigrumäe,2026-05-23 07:17:05+03,2026-05-23
2,8,1710,18,59.42826,24.67424,257,,Z,Väike-Õismäe,2026-05-23 07:17:05+03,2026-05-23
2,8,3393,91,59.42723,24.66559,75,,Z,Äigrumäe,2026-05-23 07:17:05+03,2026-05-23
2,8,1186,49,59.48172,24.88878,138,,Z,Äigrumäe,2026-05-23 07:17:35+03,2026-05-23
2,8,1236,34,59.44628,24.79979,218,,Z,Väike-Õismäe,2026-05-23 07:17:35+03,2026-05-23
2,8,1474,2,59.41193,24.63535,117,,Z,Väike-Õismäe,2026-05-23 07:17:35+03,2026-05-23
2,8,1476,61,59.43952,24.75878,106,,Z,Äigrumäe,2026-05-23 07:17:35+03,2026-05-23
2,8,1710,18,59.42774,24.66736,261,,Z,Väike-Õismäe,2026-05-23 07:17:35+03,2026-05-23
2,8,3393,91,59.42776,24.67156,83,,Z,Äigrumäe,2026-05-23 07:17:35+03,2026-05-23
2,8,1186,49,59.4812,24.89095,89,,Z,Äigrumäe,2026-05-23 07:18:05+03,2026-05-23
2,8,1236,34,59.44417,24.79651,218,,Z,Väike-Õismäe,2026-05-23 07:18:05+03,2026-05-23
2,8,1474,2,59.41192,24.63534,117,,Z,Väike-Õismäe,2026-05-23 07:18:05+03,2026-05-23
2,8,1476,61,59.43947,24.76039,96,,Z,Äigrumäe,2026-05-23 07:18:05+03,2026-05-23
2,8,1710,18,59.42684,24.66035,252,,Z,Väike-Õismäe,2026-05-23 07:18:05+03,2026-05-23
2,8,3393,91,59.4279,24.6735,82,,Z,Äigrumäe,2026-05-23 07:18:05+03,2026-05-23
2,8,1186,49,59.48132,24.89081,89,,Z,Äigrumäe,2026-05-23 07:18:35+03,2026-05-23
2,8,1236,34,59.44278,24.79266,253,,Z,Väike-Õismäe,2026-05-23 07:18:35+03,2026-05-23
2,8,1474,2,59.41192,24.63534,117,,Z,Väike-Õismäe,2026-05-23 07:18:35+03,2026-05-23
2,8,1476,61,59.43978,24.76281,77,,Z,Äigrumäe,2026-05-23 07:18:35+03,2026-05-23
2,8,1710,18,59.42636,24.65783,250,,Z,Väike-Õismäe,2026-05-23 07:18:35+03,2026-05-23
2,8,3393,91,59.42863,24.68009,77,,Z,Äigrumäe,2026-05-23 07:18:35+03,2026-05-23
2,8,1186,49,59.48132,24.89081,89,,Z,Äigrumäe,2026-05-23 07:19:06+03,2026-05-23
2,8,1236,34,59.44285,24.78856,283,,Z,Väike-Õismäe,2026-05-23 07:19:06+03,2026-05-23
2,8,1474,2,59.41192,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:19:06+03,2026-05-23
2,8,1476,61,59.43979,24.76281,77,,Z,Äigrumäe,2026-05-23 07:19:06+03,2026-05-23
2,8,1710,18,59.42536,24.65364,246,,Z,Väike-Õismäe,2026-05-23 07:19:06+03,2026-05-23
2,8,3393,91,59.42923,24.68548,77,,Z,Äigrumäe,2026-05-23 07:19:06+03,2026-05-23
2,8,1186,49,59.48132,24.89081,89,,Z,Äigrumäe,2026-05-23 07:19:36+03,2026-05-23
2,8,1236,34,59.44331,24.7859,287,,Z,Väike-Õismäe,2026-05-23 07:19:36+03,2026-05-23
2,8,1474,2,59.41192,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:19:36+03,2026-05-23
2,8,1476,61,59.44085,24.76831,69,,Z,Äigrumäe,2026-05-23 07:19:36+03,2026-05-23
2,8,1710,18,59.42463,24.65039,245,,Z,Väike-Õismäe,2026-05-23 07:19:36+03,2026-05-23
2,8,3393,91,59.42955,24.69235,87,,Z,Äigrumäe,2026-05-23 07:19:36+03,2026-05-23
2,8,1186,49,59.48132,24.89081,89,,Z,Äigrumäe,2026-05-23 07:20:06+03,2026-05-23
2,8,1236,34,59.44361,24.78255,279,,Z,Väike-Õismäe,2026-05-23 07:20:06+03,2026-05-23
2,8,1474,2,59.41192,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:20:06+03,2026-05-23
2,8,1476,61,59.44168,24.77227,66,,Z,Äigrumäe,2026-05-23 07:20:06+03,2026-05-23
2,8,1710,18,59.42371,24.64744,239,,Z,Väike-Õismäe,2026-05-23 07:20:06+03,2026-05-23
2,8,3393,91,59.42957,24.69292,87,,Z,Äigrumäe,2026-05-23 07:20:06+03,2026-05-23
2,8,1186,49,59.48132,24.89081,89,,Z,Äigrumäe,2026-05-23 07:20:36+03,2026-05-23
2,8,1236,34,59.44335,24.77915,253,,Z,Väike-Õismäe,2026-05-23 07:20:36+03,2026-05-23
2,8,1474,2,59.41192,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:20:36+03,2026-05-23
2,8,1476,61,59.44208,24.77396,67,,Z,Äigrumäe,2026-05-23 07:20:36+03,2026-05-23
2,8,1710,18,59.42284,24.64617,169,,Z,Väike-Õismäe,2026-05-23 07:20:36+03,2026-05-23
2,8,3393,91,59.42938,24.69742,97,,Z,Äigrumäe,2026-05-23 07:20:36+03,2026-05-23
2,8,1186,49,59.48132,24.89081,89,,Z,Äigrumäe,2026-05-23 07:21:06+03,2026-05-23
2,8,1236,34,59.44233,24.77445,246,,Z,Väike-Õismäe,2026-05-23 07:21:06+03,2026-05-23
2,8,1474,2,59.41192,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:21:06+03,2026-05-23
2,8,1476,61,59.44224,24.77475,68,,Z,Äigrumäe,2026-05-23 07:21:06+03,2026-05-23
2,8,1710,18,59.42115,24.64945,145,,Z,Väike-Õismäe,2026-05-23 07:21:06+03,2026-05-23
