stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id,date,source
1348,13008-1,Sossimägi,,59.42547,24.78186,,,,1348,2026-05-23,gtfs
1628,21203-2,Estonia,,59.43386,24.75258,,,,1628,2026-05-23,gtfs
1629,21204-1,Estonia,,59.43353,24.75192,,,,1629,2026-05-23,gtfs
1630,21205-1,Estonia,,59.4339,24.75177,,,,1630,2026-05-23,gtfs
14969,21203-1,Estonia,,59.43368,24.75282,,,,14969,2026-05-23,gtfs
1240,11101-1,Endla,,59.42934,24.72501,,,,1240,2026-05-23,gtfs
1245,11203-1,Lilleküla jaam,,59.42609,24.72794,,,,1245,2026-05-23,gtfs
1238,11002-1,Tehnika,,59.43375,24.72365,,,,1238,2026-05-23,gtfs
1077,07302-1,Tallinn-Väike,,59.41367,24.73718,,,,1077,2026-05-23,gtfs
1078,07303-1,Tallinn-Väike,,59.41437,24.73838,,,,1078,2026-05-23,gtfs
1088,07409-1,Tallinn-Väike,,59.41419,24.73852,,,,1088,2026-05-23,gtfs
1772,10905-1,A. Adamsoni,,59.43304,24.73436,,,,1772,2026-05-23,gtfs
1983,21104-1,Balti jaam,,59.43953,24.73779,,,,1983,2026-05-23,gtfs
1771,10904-1,Hotell Tallinn,,59.43428,24.73356,,,,1771,2026-05-23,gtfs
1773,12405-1,Tõnismägi,,59.43213,24.73629,,,,1773,2026-05-23,gtfs
149586,12405-2,Tõnismägi,,59.43212,24.73623,,,,6252,2026-05-23,gtfs
1769,10902-1,Toompark,,59.43682,24.73333,,,,1769,2026-05-23,gtfs
1229,10701-1,Reisisadama D-terminal,,59.44262,24.76529,,,,1229,2026-05-23,gtfs
143814,10706-1,Reisisadama D-terminal,,59.44256,24.76546,,,,5983,2026-05-23,gtfs
1313,12218-1,Maneeži,,59.4356,24.76103,,,,1313,2026-05-23,gtfs
1322,12401-1,Vabaduse väljak,,59.43314,24.74485,,,,1322,2026-05-23,gtfs
1323,12402-1,Vabaduse väljak,,59.43318,24.74417,,,,1323,2026-05-23,gtfs
1246,11204-1,Lilleküla jaam,,59.425,24.72979,,,,1246,2026-05-23,gtfs
14701,11207-1,Uus Maailm,,59.42667,24.74168,,,,14701,2026-05-23,gtfs
153754,11314-1,Kitseküla,,59.42004,24.74263,,,,1900,2026-05-23,gtfs
153759,11315-1,Kitseküla,,59.41986,24.74149,,,,6434,2026-05-23,gtfs
1252,11306-1,Vana-Lõuna,,59.4228,24.74592,,,,1252,2026-05-23,gtfs
1255,11309-1,Vana-Lõuna,,59.42164,24.7445,,,,1255,2026-05-23,gtfs
1256,11311-1,Vana-Lõuna,,59.42164,24.74394,,,,1256,2026-05-23,gtfs
1254,11308-1,Veerenni,,59.425,24.74758,,,,1254,2026-05-23,gtfs
1334,12607-1,Liivalaia,,59.42744,24.7484,,,,1334,2026-05-23,gtfs
1356,13202-1,Õilme,,59.4212,24.75081,,,,1356,2026-05-23,gtfs
1357,13301-1,Õilme,,59.42111,24.75069,,,,1357,2026-05-23,gtfs
150766,00162-1,Töökoja,,59.41753,24.75279,,,,6319,2026-05-23,gtfs
1355,13201-1,Varre,,59.41964,24.75152,,,,1355,2026-05-23,gtfs
